Category,Name,Material,Quantity,TotalLength,TotalArea,TotalVolume
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198228,,1,13312.066984,0.0,312940821.313084
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198239,,1,13312.063409,0.0,313037259.247523
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198250,,1,13270.295484,0.0,312226622.493556
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198261,,1,13256.376835,0.0,311863124.061768
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198274,,1,13270.347715,0.0,312177647.781764
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198285,,1,13312.18352,0.0,312943031.988969
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198367,,1,13381.148257,0.0,314266395.599534
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198420,,1,13381.3214,0.0,315996083.354138
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198432,,1,13381.148257,0.0,314266395.599534
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198443,,1,13381.3214,0.0,314128260.298693
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198454,,1,13381.148257,0.0,314266395.599534
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198465,,1,13381.3214,0.0,314128260.298693
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198662,,1,6000.0,0.0,143675624.985524
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198733,,1,6098.0,0.0,142571250.000008
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198803,,1,5955.0,0.0,142559374.985527
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:199765,,1,6000.0,0.0,143675624.985524
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:199778,,1,6000.0,0.0,142500000.000005
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:199790,,1,6000.0,0.0,142500000.000005
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201028,,1,984.487562,0.0,20725674.575704
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201030,,1,983.578245,0.0,20965079.3144
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201032,,1,984.276478,0.0,20857083.086497
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201034,,1,990.137723,0.0,20540562.564914
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201036,,1,998.59482,0.0,20295735.235679
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201038,,1,1000.504124,0.0,20171286.413518
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201040,,1,991.471093,0.0,20371119.484631
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201042,,1,984.406678,0.0,20810218.034052
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201044,,1,983.570635,0.0,20968611.988124
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201046,,1,984.48984,0.0,20828160.705556
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201128,,1,984.488542,0.0,20829565.185349
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201130,,1,983.575099,0.0,20970818.564703
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201132,,1,984.326037,0.0,20848732.012752
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201134,,1,990.623384,0.0,20483176.713831
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201136,,1,999.394329,0.0,20245650.237663
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201138,,1,999.780672,0.0,20215368.291392
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201140,,1,990.888452,0.0,20443188.698216
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201142,,1,984.351949,0.0,20836124.144283
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201144,,1,983.573537,0.0,20971848.38312
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201146,,1,984.488997,0.0,20829195.157815
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201591,,1,984.489279,0.0,20828151.154062
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201593,,1,983.571807,0.0,20970302.134221
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201595,,1,984.378864,0.0,20825936.077561
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201597,,1,991.170331,0.0,20416889.23409
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201599,,1,1000.152116,0.0,20201739.161882
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201601,,1,998.997834,0.0,20265971.771931
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201603,,1,990.373589,0.0,20508360.704369
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201605,,1,984.300787,0.0,20856539.448221
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201607,,1,983.576671,0.0,20967654.345032
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201609,,1,984.488052,0.0,20830303.684928
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201658,,1,986.489896,0.0,20773233.531821
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201660,,1,985.578737,0.0,21012596.018939
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201662,,1,986.278327,0.0,20904642.69099
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201664,,1,992.151796,0.0,20588369.447414
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201666,,1,1000.626272,0.0,20343955.489643
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201668,,1,1002.538694,0.0,20219627.215094
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201670,,1,993.487343,0.0,20419035.257614
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201672,,1,986.408837,0.0,20857778.781978
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201674,,1,985.570898,0.0,21016183.13393
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201676,,1,986.492155,0.0,20875721.819768
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201735,,1,984.488542,0.0,20829565.185349
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201737,,1,983.575099,0.0,20970818.564703
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:201739,,1,984.326037,0.0,20848732.012752
